pivotX pivotY CharWidth
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
47 60 0
